poicode,day_type,total_count,total_estimated_visit
POI_IND_9999_0x3be7b70041243ea7:0x7e432967698300da,weekend,39,2505.0
POI_IND_9999_0x3be7b70865190877:0xb4177f8b7d4a69be,weekday,70,2007.0
POI_IND_9999_0x3be7c7d46e80b807:0xe50b159358ce7bf3,weekday,343,8718.0
POI_IND_9999_0x3be7c7d46e80b807:0xe50b159358ce7bf3,weekend,129,2673.0
POI_IND_9999_0x3be7b786fba1b3f1:0x6c248182cd4f9b7,weekday,127,6511.0
POI_IND_9999_0x3be7c1657267221b:0xd7df5a3472f2750e,weekend,20,575.0
POI_IND_9999_0x3be7af8dc0c98199:0xa7cc3a9e5ee5219b,weekend,46,2730.0
POI_IND_9999_0x3be7b9397be9f741:0x51a076cb01e2635d,weekend,86,2959.0
POI_IND_9999_0x3be7cf45f20fb1f3:0x8ea7dc4f5de5bda5,weekday,136,4514.0
POI_IND_9999_0x3be7ce8c8882b2ad:0x43e7339c8ffd9a13,weekend,143,5145.0
POI_IND_9999_0x3be7c921c157c1c3:0xff734fc4d0da7e1b,weekend,8,629.0
POI_IND_9999_0x3be7b7eb6df21871:0xa97a3f3d53d5d639,weekend,62,3136.0
POI_IND_9999_0x3be7b135b9dc17f1:0xd8007acf8637c6da,weekday,411,13835.0
POI_IND_9999_0x3be7b135b9dc17f1:0xd8007acf8637c6da,weekend,229,7272.0
POI_IND_9999_0x3be7c86ded542b17:0xa8f85d53671c7654,weekday,136,5599.0
POI_IND_9999_0x3be7b0d9fb01218f:0x2fd9b8c7ff9193f4,weekend,23,978.0
POI_IND_9999_0x3be7c823a20fced1:0x7357ff1643464e8,weekend,77,2273.0
POI_IND_9999_0x3be797a947c4d521:0xa1460c122cb5b178,weekday,293,6003.0
POI_IND_9999_0x3be7af83851fda31:0x6fce0f4c2ceae510,weekend,206,4420.0
POI_IND_9999_0x3be7c0e9e3007a7b:0xf6c5bf3090378bb8,weekday,23,498.0
POI_IND_9999_0x3be79364c4bc65e9:0xaf20ec4fa1187fdd,weekday,29,1932.0
POI_IND_9999_0x3be7c141233dfd5b:0xfa5049030446c801,weekend,232,1926.0
POI_IND_9999_0x3be7c82734053ead:0xa7aa95cb0d6eea57,weekday,89,2521.0
POI_IND_9999_0x3be7b77a40460c63:0x8b75b9a7b70d7849,weekday,230,10097.0
POI_IND_9999_0x3be7b61f05f35b71:0x9a41a64d0af93709,weekday,141,7123.0
POI_IND_9999_0x3be7c8e81185e7e3:0xacf7b26f032ae292,weekend,18,535.0
POI_IND_9999_0x3be7b7324b2264d1:0x485dce4c0be5b054,weekend,27,1230.0
POI_IND_9999_0x3be7c975d56a28a1:0xa34998b4692a472e,weekend,77,1376.0
POI_IND_9999_0x3be7bdf04a546aa5:0x40138ddb77f5f924,weekend,25,656.0
POI_IND_9999_0x3be7b05b255b1391:0x108b75aedc80e1c6,weekday,299,10720.0
POI_IND_9999_0x3be79411a2c764d1:0x53a713e62917f027,weekend,61,2651.0
POI_IND_9999_0x3be7c181e05cdab5:0x86cfda8dbac6b83d,weekend,49,1182.0
POI_IND_9999_0x3be7b9277b7cb5e7:0x75a8cdc7b437bd97,weekend,328,7959.0
POI_IND_9999_0x3be7c1476c5c98bd:0xd0d929fd1266235,weekend,166,3844.0
POI_IND_9999_0x3be7c8abc115a509:0xdb158b43394006bd,weekend,89,4039.0
POI_IND_9999_0x3be7b8f5b6cb36d3:0xe8677705e87a7858,weekend,27,842.0
POI_IND_9999_0x3be7b71ed51806a5:0x920a6e9a0fa6152e,weekday,134,5499.0
POI_IND_9999_0x3be7b71ed51806a5:0x920a6e9a0fa6152e,weekend,74,2970.0
POI_IND_9999_0x3be7d1c13dbce89f:0x5dde8d3f775fd0a7,weekend,78,2757.0
POI_IND_9999_0x3be7d1da6a3b63c1:0x2cd0e6a96b41de18,weekday,121,6406.0
POI_IND_9999_0x3be7d1da6a3b63c1:0x2cd0e6a96b41de18,weekend,41,2494.0
POI_IND_9999_0x3be7e9d2085e80e3:0x4644455f77367f57,weekend,89,1219.0
POI_IND_9999_0x3be7b1b638be92ed:0x1129e7bdf6d6a291,weekend,37,1036.0
POI_IND_9999_0x3be7b1b638be92ed:0x1129e7bdf6d6a291,weekday,119,4075.0
POI_IND_9999_0x3be7b7ecd2a591f5:0x984781dbc2e57bd,weekday,675,19417.0
POI_IND_9999_0x3be7b16b922e9ddb:0x20c152b8ad38fbd9,weekend,175,5913.0
POI_IND_9999_0x3be7c9d9d759a57f:0x570ef45cac4a5ba2,weekend,7,338.0
POI_IND_9999_0x3be7c717ed0e7bad:0xc13e0c843e699719,weekday,230,7220.0
POI_IND_9999_0x3be7c9fce134e3e5:0x82c75ef754a4c7a0,weekday,963,30483.0
POI_IND_9999_0x3be7c8ff00000001:0xaec90dc79783fc3f,weekday,41,2205.0
POI_IND_9999_0x3be7c8ff00000001:0xaec90dc79783fc3f,weekend,29,1692.0
POI_IND_9999_0x3be7c98b9c43dffd:0x9461bc7c60f5d18f,weekday,422,19408.0
POI_IND_9999_0x3be7c98b9c43dffd:0x9461bc7c60f5d18f,weekend,317,10180.0
POI_IND_9999_0x3be7b63cc1699017:0xcc1e8ff31e905738,weekend,142,1844.0
POI_IND_9999_0x3be7b12db869711b:0xe92959f0d354879f,weekday,98,5442.0
POI_IND_9999_0x3be7c99f97ca81ed:0xebc51f93f7c7d960,weekend,60,2636.0
POI_IND_9999_0x3be7b7e9c816756d:0xf5356a28a9ebf4c3,weekday,30,1200.0
POI_IND_9999_0x3be7b7e9c816756d:0xf5356a28a9ebf4c3,weekend,18,539.0
POI_IND_9999_0x3be7b7313ad6e75f:0xd6e59785ffb75257,weekday,254,6489.0
POI_IND_9999_0x3be7d1c323572785:0xf67c19526b8cc994,weekday,728,29748.0
POI_IND_9999_0x3be7c99824616e79:0xd8da52a80214c0f,weekend,14,606.0
POI_IND_9999_0x3be7c978048fc55f:0xc71ab6c6b4489cf4,weekend,32,984.0
POI_IND_9999_0x3be7c70fea8ce741:0x87a8017756b916b7,weekend,36,1934.0
POI_IND_9999_0x3be7b61cd80de561:0x71cecd018b3ebe92,weekday,201,6776.0
POI_IND_9999_0x3be7b1211b5ac3f3:0x9cfbad00aa070202,weekday,1125,26658.0
POI_IND_9999_0x3be87b390dba7653:0x8d2445cc5de470cc,weekday,91,1710.0
POI_IND_9999_0x3be87b390dba7653:0x8d2445cc5de470cc,weekend,48,1153.0
POI_IND_9999_0x3be7e9ca90c435ef:0x259777e13a6c9840,weekday,42,827.0
POI_IND_9999_0x3be79467680e3075:0x2a71a541ba31f5,weekday,365,16760.0
POI_IND_9999_0x3be7c0d141473e29:0xcd62f444016bdf68,weekday,302,2597.0
POI_IND_9999_0x3be7b94450bc584b:0x5c929e0e405242bf,weekday,134,5284.0
POI_IND_9999_0x3be7c1704b57b7e9:0xdd92e9bb6c74e4b3,weekday,24,202.0
POI_IND_9999_0x3be7b923d8d069ef:0xb000ee266605238e,weekend,184,8255.0
POI_IND_9999_0x3be7962747b2a75f:0x3788193662d97594,weekday,59,2064.0
POI_IND_9999_0x3be7962747b2a75f:0x3788193662d97594,weekend,12,353.0
POI_IND_9999_0x3be7ce12a9b29c15:0xdb6e05fed0388a41,weekend,68,3841.0
POI_IND_9999_0x3be7ce22107044f9:0xa9aff9e186a3530a,weekend,66,1936.0
POI_IND_9999_0x3be7d7f9d5053af7:0x685650e744cfb44,weekday,3,2.0
POI_IND_9999_0x3be7d7f9d5053af7:0x685650e744cfb44,weekend,2,2.0
POI_IND_9999_0x3be795839662f78f:0x8307144efc686228,weekend,115,1821.0
POI_IND_9999_0x3be795c11a161f2d:0xe3b8cc3fe0c89fcf,weekend,124,3808.0
POI_IND_9999_0x3be7c602d9b1d4db:0xe7f5dbe3ec80fb45,weekend,61,3647.0
POI_IND_9999_0x3be7b704fc381155:0x21992d9949a871ac,weekend,57,2974.0
POI_IND_9999_0x3be7c9cb4c0c6b6b:0x8c8c8969d013a87,weekday,215,9526.0
POI_IND_9999_0x3be7b916cbfc5225:0xc4400a9863d5c799,weekend,596,19890.0
POI_IND_9999_0x3be79581351f2469:0xc612d6c2657a2e01,weekday,60,689.0
POI_IND_9999_0x3be7bf06a283e347:0xcf27caa0d60a9391,weekday,66,3294.0
POI_IND_9999_0x3be7c863df525d9d:0x6f54e2faaf9f947b,weekday,77,3954.0
POI_IND_9999_0x3be7bed2ffffffff:0xed0e7b342aad301c,weekday,202,6785.0
POI_IND_9999_0x3be7c300651edbd7:0x97003bfe1277df89,weekend,17,487.0
POI_IND_9999_0x3be797754b1892d7:0x5e5aa17d8bc8ed39,weekend,41,272.0
POI_IND_9999_0x3be79592ff077155:0x9f43404a898161d4,weekend,62,1016.0
POI_IND_9999_0x3be7b1be67c06b5d:0xfdfb25b750679ef7,weekday,99,4070.0
POI_IND_9999_0x3be7c2532fffffff:0xb20591b7effeab27,weekend,24,598.0
POI_IND_9999_0x3be7c3cde10c17a1:0x2e4f0697a94a9c59,weekend,28,208.0
POI_IND_9999_0x3be7c37bfdcfd26b:0xc5959be228b2d4c5,weekend,257,3346.0
POI_IND_9999_0x3be7c94f0d61c165:0x4688ea5fb76ada02,weekday,108,3393.0
POI_IND_9999_0x3be7c9fe0412e6e3:0x3af2ac3257216a7e,weekday,104,4198.0
POI_IND_9999_0x3be7f3de872225a5:0xc972780fba8ac9ca,weekend,426,10276.0
POI_IND_9999_0x3be7c9f9976689e3:0x65fa8ec33ab59e9d,weekend,95,4952.0
POI_IND_9999_0x3be7c3d47ff8238d:0x1200fe19e33ec3f7,weekday,129,2787.0
POI_IND_9999_0x3be7c3d47ff8238d:0x1200fe19e33ec3f7,weekend,57,921.0
POI_IND_9999_0x3be7d18755a5ddf3:0x54e1c653396b391b,weekday,84,3202.0
POI_IND_9999_0x3be7cfab349c937b:0xf0d06e7065689190,weekend,10,9.0
POI_IND_9999_0x3be7cfab349c937b:0xf0d06e7065689190,weekday,25,263.0
POI_IND_9999_0x3be7c9388c9441bf:0x20883071c917c21b,weekend,8,545.0
POI_IND_9999_0x3be7c9388c9441bf:0x20883071c917c21b,weekday,44,2401.0
POI_IND_9999_0x3be7b77a549d4fab:0x1303763c4c57235f,weekday,169,4280.0
POI_IND_9999_0x3be7b77a549d4fab:0x1303763c4c57235f,weekend,98,1647.0
POI_IND_9999_0x3be7c90febdbbb0d:0xa0d346dce9055e28,weekend,15,760.0
POI_IND_9999_0x3be7c994afaff939:0x7e6118c795d0a889,weekday,61,1988.0
POI_IND_9999_0x3be7c912e59941f5:0x86cee354d608ec42,weekend,66,3095.0
POI_IND_9999_0x3be7c3dbfbc666b1:0x47e11a52a8454cf,weekend,47,531.0
POI_IND_9999_0x3be7c35e8c00c523:0x6fa6356a4291681b,weekday,90,1264.0
POI_IND_9999_0x3be7ce8796fc6aed:0xa8f11316d3c1da57,weekend,36,1803.0
POI_IND_9999_0x3be7c976293de911:0x844b1c44fce88e40,weekday,58,2262.0
POI_IND_9999_0x3be7d1e6fe5d672d:0xa2afe2ae1e76ac35,weekday,61,2520.0
POI_IND_9999_0x3be7ce430eb7f191:0xae06636597fc7506,weekday,260,10191.0
POI_IND_9999_0x3be7ce430eb7f191:0xae06636597fc7506,weekend,96,3730.0
POI_IND_9999_0x3be7ce8c60c1a6cd:0x99d779c187855b53,weekday,162,4078.0
POI_IND_9999_0x3be7ce6d55f8b475:0x10fe8224fdbb7918,weekend,105,4661.0
POI_IND_9999_0x3be7d1bf688ad76d:0x5de7d9f716ffb71e,weekend,20,474.0
POI_IND_9999_0x3be7b122e8e08d33:0x715146335c98ccfc,weekend,19,907.0
POI_IND_9999_0x3be7b1206339ab27:0x4ef91fb1a538cacc,weekend,439,15599.0
POI_IND_9999_0x3be7c627288c44b3:0x9ea97a0251b96c16,weekend,156,7809.0
POI_IND_9999_0x3be7b7346b65e457:0x34e39c1295315a82,weekday,259,10851.0
POI_IND_9999_0x3be7c9182c920e5f:0xf7912509065991d0,weekday,58,1917.0
POI_IND_9999_0x3be7c9182c920e5f:0xf7912509065991d0,weekend,3,201.0
POI_IND_9999_0x3be7c173c3a4c3cf:0xfd3fdfbb9c230164,weekday,15,188.0
POI_IND_9999_0x3be7bf025681cbd7:0x206a48306234d5ae,weekday,223,2958.0
POI_IND_9999_0x3be7bdad5bdf37eb:0xf2db0562939bb8c5,weekend,89,1981.0
POI_IND_9999_0x3be7c304fffb8fbf:0xa23ab64d4474dc2e,weekend,100,1363.0
POI_IND_9999_0x3be7e9b290fb11a7:0xc63c83598d29db35,weekend,36,415.0
POI_IND_9999_0x3be7bff72093c583:0x5fbfbe31acd3c5db,weekend,123,1765.0
POI_IND_9999_0x3be7c141b96fdd2f:0x26797b33c92d0d63,weekend,38,940.0
POI_IND_9999_0x3be7c3c19bd40e17:0xce70bd12df293151,weekday,43,1500.0
POI_IND_9999_0x3be7c31ca025e8b1:0xc2006f8cd1ff46d3,weekday,45,755.0
POI_IND_9999_0x3be7c352843d146f:0x87bb4bc7c3d1dc25,weekend,89,818.0
POI_IND_9999_0x3be7ce7a4653635d:0x74c5b7f1a94e8a40,weekday,32,1404.0
POI_IND_9999_0x3be7d1dd5837994f:0x11a3ed8ec200c858,weekend,13,654.0
POI_IND_9999_0x3be7c86cda0af0b9:0x8523ee43a08403d2,weekend,26,909.0
POI_IND_9999_0x3be7b1944fe1d0bb:0xb8fb5f115470c2d,weekday,455,7858.0
POI_IND_9999_0x3be7b18ccaa74e13:0xeffee4e853855216,weekend,29,1403.0
POI_IND_9999_0x3be7b195068c94c1:0x6b610c676c4e919,weekend,227,7856.0
POI_IND_9999_0x3be7c86cc4f55adf:0x6268cce8619c7927,weekday,98,2587.0
POI_IND_9999_0x3be7c86cc4f55adf:0x6268cce8619c7927,weekend,17,524.0
POI_IND_9999_0x3be7b7562790a60f:0x5083863c686486da,weekday,186,6684.0
POI_IND_9999_0x3be7abf7ab079f7f:0xf6d94c87000e4f9a,weekend,172,2903.0
POI_IND_9999_0x3be7c9bf40c4ed19:0xa25d3b05259a616c,weekend,186,2397.0
POI_IND_9999_0x3be7c7cca2de3747:0xe95347de2b09716f,weekend,91,5103.0
POI_IND_9999_0x3be7ce0d165595d9:0xf5e3e581369494be,weekend,104,3020.0
POI_IND_9999_0x3be7ce28b5ea3945:0x19da1d8f43d864a5,weekday,256,8350.0
POI_IND_9999_0x3be7ce28b5ea3945:0x19da1d8f43d864a5,weekend,103,2684.0
POI_IND_9999_0x3be7cfe1de5cd917:0xfc91b326e8eb1f5d,weekend,2,101.0
POI_IND_9999_0x3be7bb4b4461eba9:0x85a6b647c2edecf7,weekday,97,5723.0
POI_IND_9999_0x3be79540ed78d74f:0x5f7c5d78dbc9357,weekday,144,1945.0
POI_IND_9999_0x3be7b911e3ffd789:0x31f5020a522c37da,weekend,31,923.0
POI_IND_9999_0x3be7bd6a32df9c99:0x5be6b34e652993a5,weekday,40,639.0
POI_IND_9999_0x3be7bd6a32df9c99:0x5be6b34e652993a5,weekend,25,493.0
POI_IND_9999_0x3be7c1e2610bd04d:0xc6092407be743969,weekday,131,2845.0
POI_IND_9999_0x3be7b1b5e71c8c4b:0x1155d60d3582da94,weekday,400,7547.0
POI_IND_9999_0x3be7b1b5e71c8c4b:0x1155d60d3582da94,weekend,125,3210.0
POI_IND_9999_0x3be7b1594de99551:0xfa2b7f5ec2f52abf,weekend,131,3401.0
POI_IND_9999_0x3be7c14e96633393:0x7dfc6558237a4bd5,weekday,427,9797.0
POI_IND_9999_0x3be7b6ee0655b047:0x6d37d7deaba160eb,weekday,478,15713.0
POI_IND_9999_0x3be7c92081e865e7:0x9ea8136650a2dca0,weekday,54,1380.0
POI_IND_9999_0x3be7b7b955555555:0xf904c9756d3c06d3,weekday,184,9669.0
POI_IND_9999_0x3be7b7b955555555:0xf904c9756d3c06d3,weekend,82,5167.0
POI_IND_9999_0x3be7c62fb687b31b:0xcc4126f955ecdf68,weekday,45,2336.0
POI_IND_9999_0x3be7c9d410605bb9:0x1754b34a366f051,weekend,142,4329.0
POI_IND_9999_0x3be7b063388a27e1:0xc820b9dc20386ee4,weekday,59,2606.0
POI_IND_9999_0x3be7b92daeb4a1e5:0x91516eb292282138,weekday,179,8959.0
POI_IND_9999_0x3be7b1502f9ba977:0x95be0717edafb16f,weekday,123,7317.0
POI_IND_9999_0x3be7b8aaa9cbb967:0xc0645a51e51ae8b,weekday,7,23.0
POI_IND_9999_0x3be7bf81b19c4bcd:0x9402d29d680a92e9,weekday,21,547.0
POI_IND_9999_0x3be7b63cfbf4a9af:0x97f3de7b29340d96,weekend,54,2765.0
POI_IND_9999_0x3be7c9a60cdedbb3:0xd34eddc4325443f7,weekend,33,2124.0
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,weekend,11,565.0
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,weekday,201,5738.0
