poicode,estimated_visit
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,247
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,122
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,442
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,659
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,121
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,275
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,144
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,283
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,321
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,183
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,447
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,373
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,308
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,234
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,218
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,554
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,335
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,147
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,333
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,52
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,238
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,291
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,229
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,300
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,122
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,66
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,457
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,184
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,316
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,279
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,23
POI_IND_9999_0x3be7b64714187a05:0xc598cf4d0a7e38fd,295
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1505
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1152
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1331
