h3index,district_code,wbi
89608b0b1c7ffff,IN.MH.MU,78.04093267
89608b0b62fffff,IN.MH.MU,72.59997284
89608b44c03ffff,IN.MH.MU,42.75293689
89608b4624bffff,IN.MH.MU,67.33869838
89608b46aa3ffff,IN.MH.MU,47.03467293
89608b56a13ffff,IN.MH.MU,69.8660423
89608b56a2fffff,IN.MH.MU,72.51909758
89608b56c77ffff,IN.MH.MU,66.3099878
89608b09087ffff,IN.MH.MU,66.43542401
89608b19213ffff,IN.MH.MU,57.64194051
89608b19a17ffff,IN.MH.MU,57.71277037
89608b19a6fffff,IN.MH.MU,62.52429251
89608b44497ffff,IN.MH.MU,73.19913732
89608b444b3ffff,IN.MH.MU,73.51884649
89608b460d7ffff,IN.MH.MU,64.03639216
89608b4636bffff,IN.MH.MU,77.65769433
89608b541a3ffff,IN.MH.MU,70.18266334
89608b5481bffff,IN.MH.MU,73.3081241
89608b54a27ffff,IN.MH.MU,61.43808017
89608b54b17ffff,IN.MH.MU,72.62930214
89608b54c2bffff,IN.MH.MU,71.4315607
89608b55c5bffff,IN.MH.MU,67.29141139
89608b56a77ffff,IN.MH.MU,72.25234714
89608b08483ffff,IN.MH.MU,51.97287072
89608b0b30fffff,IN.MH.MU,72.9369047
89608b0b41bffff,IN.MH.MU,68.26066242
89608b460c3ffff,IN.MH.MU,67.1944831
89608b4621bffff,IN.MH.MU,66.57909271
89608b462dbffff,IN.MH.MU,59.3215657
89608b54843ffff,IN.MH.MU,67.46841938
89608b55e53ffff,IN.MH.MU,58.09256134
89608b56b6fffff,IN.MH.MU,73.33907391
89608b0906fffff,IN.MH.MU,64.35330049
89608b0b023ffff,IN.MH.MU,74.94601954
89608b0b3cfffff,IN.MH.MU,76.26375234
89608b44507ffff,IN.MH.MU,66.64901252
89608b446cfffff,IN.MH.MU,73.13763918
89608b54177ffff,IN.MH.MU,69.72380328
89608b5436bffff,IN.MH.MU,56.26862474
89608b5510bffff,IN.MH.MU,69.96123965
89608b56a37ffff,IN.MH.MU,77.58586952
89608b0b153ffff,IN.MH.MU,78.99420085
89608b0b693ffff,IN.MH.MU,81.60439757
89608b19303ffff,IN.MH.MU,52.92868213
89608b19e3bffff,IN.MH.MU,55.09167905
89608b4600bffff,IN.MH.MU,69.8654508
89608b46027ffff,IN.MH.MU,74.07243231
89608b4606fffff,IN.MH.MU,68.55644265
89608b460c7ffff,IN.MH.MU,67.27479163
89608b54253ffff,IN.MH.MU,58.37573353
89608b55067ffff,IN.MH.MU,64.98849316
89608b55933ffff,IN.MH.MU,59.76778893
89608b55c1bffff,IN.MH.MU,66.61811306
89608b56973ffff,IN.MH.MU,74.83909423
89608b09267ffff,IN.MH.MU,74.44050178
89608b0b33bffff,IN.MH.MU,72.58817253
89608b0b653ffff,IN.MH.MU,77.49837396
89608b446cbffff,IN.MH.MU,74.84174837
89608b466b3ffff,IN.MH.MU,63.73703889
89608b5499bffff,IN.MH.MU,71.61757557
89608b54a2bffff,IN.MH.MU,55.3451723
89608b54a9bffff,IN.MH.MU,59.38879077
89608b55527ffff,IN.MH.MU,56.7133346
89608b55937ffff,IN.MH.MU,59.90863565
89608b09237ffff,IN.MH.MU,72.62403648
89608b0b15bffff,IN.MH.MU,78.34812688
89608b19237ffff,IN.MH.MU,52.46433533
89608b4459bffff,IN.MH.MU,67.7248735
89608b46513ffff,IN.MH.MU,75.63484731
89608b54a97ffff,IN.MH.MU,63.38912984
89608b55103ffff,IN.MH.MU,69.61510299
89608b55167ffff,IN.MH.MU,68.19632239
89608b55523ffff,IN.MH.MU,54.88550717
89608b55ec3ffff,IN.MH.MU,65.0928845
89608b084d7ffff,IN.MH.MU,55.36073746
89608b09287ffff,IN.MH.MU,73.29266763
89608b19e2bffff,IN.MH.MU,59.59040096
89608b464a7ffff,IN.MH.MU,63.73163006
89608b46a6bffff,IN.MH.MU,46.21266362
89608b5496fffff,IN.MH.MU,73.24057609
89608b5497bffff,IN.MH.MU,73.59705335
89608b54cafffff,IN.MH.MU,75.52903673
89608b55c0bffff,IN.MH.MU,61.05391702
89608b56c33ffff,IN.MH.MU,67.16932066
89608b0946fffff,IN.MH.MU,75.88321965
89608b0b327ffff,IN.MH.MU,67.52186554
89608b19a93ffff,IN.MH.MU,61.15978696
89608b4453bffff,IN.MH.MU,64.78648487
89608b4604bffff,IN.MH.MU,71.37690453
89608b4617bffff,IN.MH.MU,68.56726386
89608b462abffff,IN.MH.MU,70.17035805
89608b4658bffff,IN.MH.MU,78.48114778
89608b46a93ffff,IN.MH.MU,50.29417439
89608b56a2bffff,IN.MH.MU,72.17702828
89608b0924fffff,IN.MH.MU,75.08446223
89608b0935bffff,IN.MH.MU,67.02316596
89608b44013ffff,IN.MH.MU,67.31253201
89608b4444bffff,IN.MH.MU,70.22078546
89608b4452bffff,IN.MH.MU,63.10581751
89608b45403ffff,IN.MH.MU,61.44493625
89608b462b7ffff,IN.MH.MU,70.14615982
89608b46333ffff,IN.MH.MU,70.39523078
89608b46343ffff,IN.MH.MU,75.73678167
89608b4642fffff,IN.MH.MU,64.45762202
89608b46a9bffff,IN.MH.MU,51.68132424
89608b5498fffff,IN.MH.MU,71.09040071
89608b54ed3ffff,IN.MH.MU,69.74227755
89608b55c97ffff,IN.MH.MU,69.45781562
89608b5689bffff,IN.MH.MU,69.65849544
89608b56b03ffff,IN.MH.MU,72.86032784
89608b56b7bffff,IN.MH.MU,73.01951952
89608b09233ffff,IN.MH.MU,74.94675792
89608b0b3c3ffff,IN.MH.MU,78.57541986
89608b0b64bffff,IN.MH.MU,71.00290412
89608b19313ffff,IN.MH.MU,49.01560877
89608b19e63ffff,IN.MH.MU,61.7273737
89608b455dbffff,IN.MH.MU,71.04162563
89608b46063ffff,IN.MH.MU,69.42583151
89608b460abffff,IN.MH.MU,75.13289315
89608b54b67ffff,IN.MH.MU,75.04948971
89608b54bb3ffff,IN.MH.MU,71.05237607
89608b54c9bffff,IN.MH.MU,68.35993289
89608b54d87ffff,IN.MH.MU,67.76776374
89608b568bbffff,IN.MH.MU,68.00707766
89608b56937ffff,IN.MH.MU,76.72465623
89608b56967ffff,IN.MH.MU,78.41970247
89608b56b43ffff,IN.MH.MU,71.77435965
89608b0b003ffff,IN.MH.MU,71.29714523
89608b1918fffff,IN.MH.MU,35.06316963
89608b1920fffff,IN.MH.MU,55.15705742
89608b44043ffff,IN.MH.MU,59.84392294
89608b4407bffff,IN.MH.MU,58.27865801
89608b441d3ffff,IN.MH.MU,61.41478696
89608b445abffff,IN.MH.MU,64.804037
89608b46263ffff,IN.MH.MU,69.2075054
89608b465d7ffff,IN.MH.MU,74.1906359
89608b47573ffff,IN.MH.MU,59.28708838
89608b54143ffff,IN.MH.MU,70.49933195
89608b54883ffff,IN.MH.MU,71.67781824
89608b0903bffff,IN.MH.MU,60.75145845
89608b0b107ffff,IN.MH.MU,76.59459783
89608b0b27bffff,IN.MH.MU,65.43969307
89608b44533ffff,IN.MH.MU,61.88973298
89608b46033ffff,IN.MH.MU,76.10693195
89608b46117ffff,IN.MH.MU,72.9329916
89608b461afffff,IN.MH.MU,68.83635966
89608b46367ffff,IN.MH.MU,71.06566704
89608b463afffff,IN.MH.MU,67.88329878
89608b46403ffff,IN.MH.MU,52.23901638
89608b47537ffff,IN.MH.MU,60.30827402
89608b5423bffff,IN.MH.MU,68.41826566
89608b5488bffff,IN.MH.MU,72.75613393
89608b55397ffff,IN.MH.MU,71.65180982
89608b56a5bffff,IN.MH.MU,62.66505351
89608b0922bffff,IN.MH.MU,76.29808044
89608b0b453ffff,IN.MH.MU,73.83841313
89608b0b647ffff,IN.MH.MU,73.7244997
89608b19e6bffff,IN.MH.MU,61.58598089
89608b442a3ffff,IN.MH.MU,60.70050155
89608b4610bffff,IN.MH.MU,74.36465369
89608b4625bffff,IN.MH.MU,65.77590023
89608b462d7ffff,IN.MH.MU,63.44105829
89608b46617ffff,IN.MH.MU,71.3338235
89608b46697ffff,IN.MH.MU,61.34998638
89608b5401bffff,IN.MH.MU,55.54225754
89608b5402fffff,IN.MH.MU,70.42849567
89608b54c0bffff,IN.MH.MU,68.80300553
89608b54e43ffff,IN.MH.MU,57.1422522
89608b555dbffff,IN.MH.MU,39.3369186
89608b09243ffff,IN.MH.MU,74.55810324
89608b094b3ffff,IN.MH.MU,73.3827169
89608b0b363ffff,IN.MH.MU,72.70281981
89608b19cc7ffff,IN.MH.MU,37.61762513
89608b44287ffff,IN.MH.MU,59.29548595
89608b44653ffff,IN.MH.MU,75.01501862
89608b46633ffff,IN.MH.MU,67.42633214
89608b46ad3ffff,IN.MH.MU,56.70455488
89608b5422fffff,IN.MH.MU,69.64928037
89608b5491bffff,IN.MH.MU,73.80723525
89608b551afffff,IN.MH.MU,69.8566001
89608b551dbffff,IN.MH.MU,63.12434869
89608b5532fffff,IN.MH.MU,64.93316535
