poi_code,home_h9,state,district,district_code,city,village,house_price_wbi,poi_wbi,gwpca_wbi,local_weight_house,local_weight_poi,explained_variance,version,country
POI_IND_9999_0x3be7c9e92075a359:0x438fff3629fa97dc,89608b0a4a7ffff,Maharashtra,Mumbai,IN.MH.AA,Mumbai,Greater Mumbai,35.89425293214655,71.12589725771227,17.42733770684971,0.8147626039680732,0.18523739603192677,76.08633391670195,4.2.3,IND
POI_IND_9999_0x3be7b1005de9d0ab:0xd55a8304f9f87df4,89608b18b97ffff,Maharashtra,Mumbai,IN.MH.AA,Mumbai,Greater Mumbai,35.89425293214655,68.53898802440732,16.871753063275715,0.8093196174228402,0.19068038257715988,73.81863036720463,4.2.3,IND
POI_IND_9999_0x3be7bb09ea2851b5:0x16c412f91c5c85d0,89608b4230bffff,Maharashtra,Thane,IN.MH.TN,Thane,Thane,63.30938841,74.30979581850616,64.91477947318884,0.6062974219844061,0.393702578,69.13957889847458,4.2.3,IND
POI_IND_9999_0x3be7c0d74211320f:0x41e1ff6df345e83b,89608b5700fffff,Maharashtra,Thane,IN.MH.TN,Thane,Navi Mumbai,43.495974578700974,74.17464026110441,46.02913481343045,0.6149141021656379,0.38508589783436215,68.02211864732598,4.2.3,IND
POI_IND_9999_0x3be7cfdb6d93308d:0xd86cdfcd52b521a4,89608b19937ffff,Maharashtra,Mumbai,IN.MH.AA,Mumbai,Greater Mumbai,35.89425293214655,66.55877527247459,16.81504005066012,0.7980097911168735,0.20199020888312644,76.58936948,4.2.3,IND
POI_IND_9999_0x3be7bf007f8d792b:0x4ee9b0398f1d0d27,89608b43657ffff,Maharashtra,Thane,IN.MH.TN,Bhiwandi,Bhiwandi Nizampur,64.88412394565378,73.30361432985531,65.91732245477449,0.5949029707343123,0.4050970292656876,69.68243993796828,4.2.3,IND
POI_IND_9999_0x3be7b0d73f3b64bb:0x6029da0bebe2828,89608b44677ffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,71.52124173450635,68.23033711702554,74.43962878341625,0.6250763968470469,0.37492360315295314,70.74279439887545,4.2.3,IND
POI_IND_9999_0x3be7c8abc115a509:0xdb158b43394006bd,89608b56dabffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,81.12244003798148,63.15214957,79.63209738797232,0.5865822606597263,0.4134177393402738,68.92569643898202,4.2.3,IND
POI_IND_9999_0x3be7b65253d57829:0x430e779ea2fd621a,89608b46197ffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,68.05677087,72.33403260746263,73.34316529259439,0.6466313598186254,0.3533686401813746,71.03933258978982,4.2.3,IND
POI_IND_9999_0x3be7930cb3dbca65:0xb33783df8d405026,89608a26e67ffff,Maharashtra,Thane,IN.MH.TN,Ambarnath,Ambarnath,57.111442597685915,64.14513387357208,53.28852966544102,0.5822832377995453,0.4177167622004548,70.33315314979167,4.2.3,IND
