poi_code,cost_for_two
0x3be7d1deb108bf05:0xc7c104a5fdf608ee,"₹1,800 for two"
0x3be7c9ccaf4920d9:0x2b69972f54f4e6ff,"₹3,500 for two"
0x3be7cf16da7083c5:0x207fcbbe77849e80,"₹4,000 for two"
0x3be7cf7e602d5a6f:0xe3b2853991a3aa73,"₹1,800 for two"
0x3be7d10bd9572a31:0x67af706b10773086,"₹4,000 for two"
0x3be7b70bf0660de9:0x1e1a9adc936f79bb,"₹3,400 for two"
0x3be7cfbceda61475:0x35e7fa9fc56e781c,"₹1,800 for two"
0x3be7d1dd5f99cc61:0xc7518a2525ba82bb,"₹2,000 for two"
0x3be7cfbd33b270e5:0xfa9cfcfb7cf4faa7,"₹3,000 for two"
0x3be7c920bc0ce0b3:0x4ca108fc4abc12dc,"₹2,500 for two"
0x3be7d1005969e875:0x71100beeee6b6ca1,"₹2,800 for two"
0x3be7cfd3b55baab7:0x65a9082de103f634,"₹2,200 for two"
0x3be7cff12a2207d5:0x73b3f5df0615e537,"₹3,500 for two"
0x3be7c94f731e8d61:0x7ae2f2cfb614b74b,"₹5,100 for two"
0x3be7b107370a72af:0x1bfc14ea1d5cce20,"₹1,400 for two"
0x3be7cf7194b6aeeb:0x5de3f65a7cf18734,"₹1,500 for two"
0x3be7b626af81ff5b:0xd34445017ed23c96,"₹2,500 for two"
0x3be7cf0028e86b53:0xbbc8f96747c0ca6,"₹2,500 for two"
0x3be7cf37d18dadad:0xab19932bac682b0c,"₹3,000 for two"
0x3be7cfcc45d1ac65:0x75c46b0fe4939ae8,"₹2,800 for two"
0x3be7c914f7474987:0xff924b18c25b9428,"₹1,000 for two"
0x3be7c92df97ce6b3:0x4557466448f346b6,"₹1,500 for two"
0x3be7c74687862549:0xc765fef995900931,"₹2,500 for two"
0x3be7a98b38d14977:0xf4063ad680767be3,"₹1,500 for two"
0x3be7c9169bd17a43:0x94207ee260ab72dd,"₹3,500 for two"
0x3be7c953675a5d2d:0x9ce57434212fc604,"₹3,500 for two"
0x3be7d193ead72833:0x563afcec3276c805,"₹5,500 for two"
0x3be7c92f56907b43:0xaac10c11e57e01b8,"₹3,000 for two"
0x3be7cf001600eb3f:0x2dc46339ef53096b,"₹3,500 for two"
0x3be7d1e22414bc1b:0xa4bf9ee3b7315971,"₹2,700 for two"
0x3be7b11c2786885d:0xae9c3071981299db,"₹1,800 for two"
0x3be7c8dd512c3a3b:0x9b5f7381114f45c0,"₹2,500 for two"
0x3be7cf1ec5f130eb:0x971af431f44bbd06,"₹2,800 for two"
0x3be7c91e44546c43:0x242e2c973d2fd9d0,"₹1,600 for two"
0x3be7d182dd7460cf:0xf06bb85f2674679d,"₹4,000 for two"
0x3be7cf41bfd367bd:0x4d6ed4c635c86257,"₹2,000 for two"
0x3be7cef2f381a5fd:0x782a4e33b2538588,"₹1,700 for two"
0x3be7b6044fd19e2f:0x93f2e8e9daf2a18f,"₹1,500 for two"
0x3be7cf6a42eb035f:0xdac83b5d36b3f94c,"₹1,800 for two"
0x3be7c778be26ed61:0xaccd5d806a046068,"₹2,000 for two"
0x3be7cf50e45060d9:0x122b5bd788ae942f,"₹2,500 for two"
0x3be7b61cd80de561:0x71cecd018b3ebe92,"₹1,500 for two"
0x3be7d1dc28d3d555:0xd3def9a8c083126f,"₹3,000 for two"
0x3be7c9584ca5a0e9:0x6a6768b87e1f82e4,"₹2,500 for two"
0x3be7c946988782c3:0x78b104318da4b255,"₹3,000 for two"
0x3be7c9491b0e1125:0x2d5e2778c07ce203,"₹2,900 for two"
0x3be7b0fd0f2835b9:0x4d18fd45e57f1571,"₹1,000 for two"
0x3be7c93faccf388f:0xad9d5ead1e67c1d2,"₹2,500 for two"
0x3be7cf0fa61f372b:0x96d5d08d7c64f7eb,"₹2,000 for two"
0x3be7cf61595f9679:0x7a31e77e47452a4c,"₹3,000 for two"
0x3be7b135b9dc17f1:0xd8007acf8637c6da,"₹3,000 for two"
0x3be7cef0612fc9d5:0xbc8a772c00121551,"₹5,500 for two"
0x3be7cfea0d79f7b9:0xd9e5eb00b1d11ffe,"₹2,200 for two"
0x3be7d1c3938df6f5:0x15709152e6985785,"₹2,500 for two"
0x3be7c3f770876dfb:0x8fa6ab0cdab279b,"₹2,500 for two"
0x3be7c9165f1154e7:0xbd2584729a2672be,"₹2,500 for two"
0x3be7cf4859b98957:0x351ceec4dbfc5793,"₹3,000 for two"
0x3be7cf8e76ea498d:0x1cefcd4167b5c4fb,"₹1,800 for two"
0x3be7c90012e53b09:0x198b5343e87f2bdd,"₹3,200 for two"
0x3be7cee7607c27a9:0x1fa1c785178fc272,"₹1,000 for two"
0x3be7d13c1abc5e8d:0x35306f3e0fd872bb,"₹2,500 for two"
0x3be7d1c31474d0b3:0xc6a4c0da4ca73353,"₹1,800 for two"
0x3be7d1c3a7aa86dd:0x58f2df81dbf51f00,"₹1,800 for two"
0x3be7d1c485f8759b:0xc6b7af14339fe4d8,"₹1,300 for two"
0x3be7d1240667dbd7:0x5c1af0bef5298072,"₹4,000 for two"
0x3be7c9641425dad9:0xf4d84db1be6e3594,"₹2,500 for two"
0x3be7d1c1343ca8bf:0x23853d2dfc35d4fa,"₹2,500 for two"
0x3be7cf82111d807f:0x58cf5a11e8ece63b,"₹2,300 for two"
0x3be7c986213e3e5b:0x90f4caf243231a2c,"₹2,600 for two"
0x3be7d1c165f702e3:0x5901986cafee237,"₹3,500 for two"
0x3be7cfb44f35a8d3:0xc394a073b87c380a,"₹1,400 for two"
0x3be7cf925f99076b:0x12d3b40962d9b174,"₹1,400 for two"
0x3be7cfe55d23eeab:0xc9e2e2f5784d0bd9,"₹1,000 for two"
0x3be7cf76832d7e83:0xa0fa9eac27400a84,"₹2,500 for two"
0x3bae16773e7dc413:0x46098eee49dc03f2,"₹1,100 for two"
0x3be7d18e29e95def:0xb619cdd1fb306407,"₹8,500 for two"
0x3be7cf9757ef9283:0x703616f751b735a6,"₹2,600 for two"
0x3be7b63f04f8e7b5:0x1ae5c6bdc0dee2a,"₹3,500 for two"
0x3be7c7647652f6a9:0xe7ad1a24027e15c2,"₹3,000 for two"
0x3be7c9450ec993cb:0x9bbabde37fb78b5c,"₹5,000 for two"
0x3be7c94067acddff:0x4c222cb57961bd6d,"₹2,500 for two"
0x3be7c7e6400000f9:0xdbd1aee164503cac,"₹2,500 for two"
0x3be7c90d425913d9:0xaf77b0c9c615ad1c,"₹3,500 for two"
0x3be7b7fe83ec07d3:0xfcb77dbc23ad08fd,"₹2,400 for two"
0x3be7b608aacfcfc3:0x1a743f3ce4eb68c7,"₹1,800 for two"
0x3be7d193eaaaaaab:0x54301585c2d218c4,"₹3,000 for two"
0x3be7b79c856eecf7:0x173a71f7280a068,"₹2,000 for two"
0x3be7c9eac9455555:0xd40210e6574572f6,"₹2,000 for two"
0x3be7c91a28a837d1:0xdb5a4566c387165c,"₹1,800 for two"
0x3be7b13e2bf85bbf:0x229a7ba79cbc8738,"₹1,500 for two"
0x3be7cfee43f6bcfb:0x9be94f7cf4ca52f7,"₹2,700 for two"
0x3be7cf47d77e86f5:0x333038fc4d9c1216,"₹1,900 for two"
0x3be7b709f160d6c5:0x7ea48f048d92e4e0,
0x3be7b12410f5fb17:0x68ae8cc62b676885,"₹2,500 for two"
0x3be7c8eeb55875b3:0xc8da7d47cb24a8c0,"₹6,500 for two"
0x3be7c9075ca4405f:0x77920b6461aa6c96,"₹8,500 for two"
0x3be7c9171406b3ff:0x1244c41547352fb3,"₹6,000 for two"
0x3be7b93f85f45385:0x7a7130033aa34d63,"₹2,500 for two"
0x3be7b119064f9941:0x9583b3f994716920,"₹1,200 for two"
0x3be7d17621496277:0xa768ea6beb9df7df,"₹2,500 for two"
0x3be7b07a4d0bd2cd:0x226aba0045eb298e,"₹1,200 for two"
0x3be7b124174da669:0x1e19e34feea23f63,"₹1,400 for two"
0x3be7b0f39d8f94b3:0xc747bc104d9b2514,
0x3be795ba6f9c7041:0xe637e6455e0c2dc0,
0x3be7958c00e788f9:0xfbdf81f32dc650f1,"₹1,400 for two"
0x3be7b14a3ede8691:0xeafd2f1287a73349,"₹1,800 for two"
0x3be7cfb4589ded9b:0x943bc3d3158b1396,"₹1,000 for two"
0x3be7cfd43cede547:0x4b07b1c00c9cef8,"₹2,000 for two"
0x3be7b10f652b7405:0x2b87072ef41e0b62,₹350 for two
0x3be7b0762b3c0eed:0x35ab359dcf5cd89e,"₹1,200 for two"
0x3be795dc19419b8d:0xecefddfe5566ea37,"₹1,100 for two"
0x3be795919c9f6103:0xee3895f5b0278f36,"₹1,600 for two"
0x3be7b18ccaa74e13:0xeffee4e853855216,"₹1,100 for two"
0x3be7b037ba69b0bf:0xea70866fee218289,"₹1,200 for two"
0x3be79519074c4f39:0x6258b69072105056,"₹1,200 for two"
0x3be7b3005d6bdb01:0xdd30152500a1278f,"₹2,000 for two"
0x3be7cfaa127c8f61:0x767372fa60f754b2,"₹1,700 for two"
0x3be7cedc6b49cef9:0x581d9a086efaa112,"₹2,200 for two"
0x3be7d1594d90c0eb:0x9293cfa6dccc988a,₹350 for two
0x3be7b063b4309677:0xacab123d47e26feb,₹600 for two
0x3be797a947c4d521:0xa1460c122cb5b178,"₹3,000 for two"
0x3be7b61c2056d2dd:0x4e8d474731030c3,"₹1,600 for two"
0x3be71f2e6a5be7c1:0xf925454b7c6221db,₹850 for two
0x3be7c92e3c4b1527:0x694b7709085ad921,₹700 for two
0x3be7cef32269cccf:0xf041eb22a9ef0a06,"₹1,000 for two"
0x3be7af9f5c423fcd:0x632310952faa1ad6,"₹1,500 for two"
0x3be7ae8542cdc9b9:0xb29627879d81fe6b,"₹1,800 for two"
0x3be7e83686e3703f:0x844dfc294dfa8358,"₹1,200 for two"
0x3be7ab7757c8fb7b:0xfe9654eb45ebed7e,₹300 for two
0x3be7abe77b8a1765:0xf9178f6fc794a38b,
0x3be7cf6b452ba205:0xff8306c139296bdc,"₹2,500 for two"
0x3be7958c03a217d5:0x4542cd820e84cc8b,"₹1,200 for two"
0x3be7b11d2e9df595:0x7ffb0239312a17b8,"₹1,200 for two"
0x3be7b14003933c8f:0x309fa16f2df04167,"₹3,500 for two"
0x3be7b1a40623c043:0x5589a22be526507d,"₹1,000 for two"
0x3be7b60345d45ddf:0xd3b380aa076b0f70,"₹1,400 for two"
0x3be7b0f271a653bf:0x7578c161526243ab,₹850 for two
0x3be7aa4c475eec05:0xe9f6e4bdbdb58883,"₹1,700 for two"
0x3be727098e249e9d:0x549fdcdafdbea4c3,₹800 for two
0x3be7cf66457e219d:0x813282bea82673b4,"₹1,900 for two"
0x3be7cf21727d5445:0x4ac429d3d3ab2752,"₹1,100 for two"
0x3be797e0057ada15:0xefb31aab302661b3,"₹1,500 for two"
