feature,ks_statistic,ks_pvalue,shift_flagged,lab_mean,lab_std,unlab_mean,unlab_std,mean_diff_pct,mainstream_mean,mainstream_std,premium_mean,premium_std,super_premium_mean,super_premium_std
atmosphere__feels_quiet,0.1428,0.0,False,0.2927,0.455,0.1499,0.3569,48.8,0.1524,0.3594,0.3289,0.4698,0.4742,0.4993
wine_item_count,0.1412,0.0,False,17.4927,13.7304,14.7391,3.1369,15.7,13.9085,5.6145,16.3221,8.5415,25.3505,23.3649
brandy_item_price_avg,0.1381,0.0,False,1452.2745,2156.6409,1036.1091,563.8472,28.7,1038.2143,834.4857,1286.4508,1452.1966,2407.054,3741.4987
tequila_item_count,0.1366,0.0,False,7.7488,5.1041,6.9478,1.5826,10.3,6.8293,1.7271,7.2819,3.9461,10.0206,8.6155
drink_to_food_ratio,0.136,0.0,False,1.2689,0.6684,1.1942,0.6523,5.9,1.247,0.6213,1.3168,0.8206,1.2324,0.4421
tequila_item_price_avg,0.1331,0.0,False,1909.7502,3525.3455,1303.0829,567.4821,31.8,1381.0858,1248.8019,2117.5866,4219.5226,2484.3204,4655.7801
hotel_stars,0.1325,0.0,False,0.7073,1.7057,0.0648,0.5151,90.8,0.1585,0.7566,0.094,0.5716,2.5773,2.4988
other_cocktails_item_count,0.1321,0.0,False,15.2098,7.7378,14.1378,4.5783,7.0,15.5305,8.2162,15.5839,8.5335,14.0928,5.0443
is_very_high_price,0.1319,0.0,False,0.139,0.346,0.0071,0.0839,94.9,0.0244,0.1543,0.094,0.2918,0.4021,0.4903
other_item_count,0.1305,0.0,False,4.3805,2.2882,4.0089,0.936,8.5,4.1098,1.2148,4.4161,2.5831,4.7835,3.0162
avg_food_aspect,0.1244,0.0,False,4.2735,0.5595,4.0871,0.7862,4.4,4.0775,0.7149,4.428,0.3439,4.3674,0.4084
martini_item_price_avg,0.1209,0.0,False,651.3646,449.9429,599.3767,140.6342,8.0,590.5346,132.3377,661.7794,638.9886,738.2133,430.0496
time_spent_mins,0.1066,0.0004,False,73.8659,69.6682,55.6785,52.3899,24.6,56.4634,49.0643,99.0268,81.8139,64.6392,67.7786
mojito_item_price_avg,0.102,0.0008,False,479.7105,267.6913,427.2653,159.9576,10.9,437.7265,136.5817,493.0347,368.5218,530.2268,238.5999
chef_x_5star,0.0949,0.0023,False,0.3317,1.3694,0.0063,0.1536,98.1,0.0,0.0,0.0,0.0,1.4021,2.535
atmosphere__feels_casual,0.0799,0.0167,False,0.822,0.3826,0.9018,0.2975,9.7,0.8293,0.3763,0.8255,0.3795,0.8041,0.3969
weekday_visits,0.0716,0.0425,False,7072.2463,7394.9945,6467.2068,7161.3872,8.6,7668.7988,8799.8538,6522.057,5927.5146,6908.7784,6719.9201
old_fashioned_item_price_avg,0.0565,0.1803,False,748.4077,231.5953,722.6529,29.6652,3.4,716.2195,46.3882,717.755,66.1355,849.9141,450.3943
